TraitID,TraitName,TOP ID
3157,,
1454,,
1455,,
3566,,
1281,,
1282,,
1411,,
1410,,
1407,,
1408,,
1390,,
1394,,
1393,,
1392,,
1391,,
1400,,
1401,,
1414,,
1413,,
1311,,
93,,
1312,,
1476,,
1077,,
1078,,
1079,,
1507,,
1506,,
1489,,
1515,,
1510,,
4077,,
1080,,
3565,,
3030,,
1508,,
1389,,
1452,,
1375,,
1372,,
1331,,
88,,
1301,,
3481,,
1345,,
3168,,
3966,,
1081,,
1269,,
1082,,
1289,,
1286,,
1438,,
1437,,
1446,,
1445,,
1444,,
1443,,
1439,,
1441,,
1442,,
1083,,
815,,
3696,,
1379,,
1440,,
1501,,
1513,,
1084,,
80,,
513,,
1315,,
81,,
1502,,
1466,,
1472,,
462,,
463,,
687,,
3534,,
3547,,
1361,,
1283,,
3130,,
1316,,
1085,,
1271,,
3562,,
683,,
390,,
3535,,
1341,,
246,,
1093,,
1086,,
3571,,
1290,,
1288,,
568,,
1356,,
1357,,
1358,,
515,,
516,,
1075,,
1076,,
6,,
1512,,
3014,,
1270,,
1087,,
86,,
1495,,
3147,,
1279,,
1278,,
1343,,
662,,
1088,,
1491,,
3977,,
1089,,
3031,,
3722,,
3567,,
3558,,
3563,,
3564,,
3015,,
3718,,
1514,,
3717,,
3716,,
2099,,
1843,,
1306,,
3573,,
1298,,
1308,,
82,,
1090,,
675,,
65,,
371,,
3572,,
1091,,
1479,,
1480,,
1285,,
1092,Root zinc content per root dry mass,
9,,
33,,
3482,,
3833,,
1099,,
3986,,
2944,,
3636,,
3041,,
3660,,
3586,,
1101,,
3634,,
3635,,
3510,,
112,,
95,,
3123,,
596,,
34,,
353,,
1102,,
234,,
1268,,
3836,,
350,,
678,,
2945,,
3372,,
351,,
1103,,
3603,,
336,,
138,,
1105,,
1106,,
2810,,
96,,
1110,,
4082,,
3000,,
3373,,
1112,,
3045,,
97,,
1107,,
610,,
3585,,
98,,
1108,,
3043,,
3832,,
66,,
1109,,
3834,,
3835,,
3042,,
3044,,
3810,,
3811,,
3947,,
1111,,
2809,,
2807,,
2808,,
159,,
359,,
3620,,
3948,,
611,,
3594,,
3605,,
1114,,
3403,,
1123,,
140,,
775,<a target=' new' href='top-thesaurus.org/annotationInfo?viz=1&&trait=Shoot carbon content per shoot dry mass,
1115,,
409,,
3610,,
1116,,
